ID,y,neea,vol,fcbio,fcbio.1000,l/cbio,UF,CD_UF,cap.m3dia,med.cap.m3ano,vol.cap.m3ano,ic.cana.tipico
6,41.06,46.34,87.08,0.00090203,0.902034,1108.61,GO,2,1440.00,43800.00,38141.04,33.86
14,27.23,60.17,96.93,0.00130373,1.303728,767.03,MG,3,9600.00,292000.00,283035.60,38.46
15,33.23,54.17,90.36,0.00109417,1.094167,913.94,MG,3,7200.00,219000.00,197888.40,38.46
18,26.92,60.48,95.60,0.00129246,1.292464,773.72,PR,6,7200.00,219000.00,209364.00,37.64
19,28.76,58.64,92.22,0.00120884,1.208837,827.24,SP,1,8160.00,248200.00,228890.04,37.30
20,21.82,65.58,94.73,0.00138870,1.388697,720.10,PR,6,3600.00,109500.00,103729.35,37.64
21,38.33,49.07,85.28,0.00093543,0.935431,1069.03,SP,1,3720.00,113150.00,96494.32,37.30
27,22.37,65.03,95.19,0.00138374,1.383738,722.68,SP,1,5400.00,164250.00,156349.58,37.30
31,39.37,48.03,68.52,0.00073566,0.735662,1359.32,MG,3,1800.00,54750.00,37514.70,38.46
33,24.95,62.45,97.98,0.00136779,1.367787,731.11,GO,2,1560.00,47450.00,46491.51,33.86
37,28.15,59.25,94.16,0.00124711,1.247106,801.86,GO,2,18000.00,547500.00,515526.00,33.86
41,22.54,64.86,97.16,0.00140868,1.408682,709.88,MS,5,10800.00,328500.00,319170.60,39.01
42,25.34,62.06,99.72,0.00138338,1.383384,722.87,MT,4,18000.00,547500.00,545967.00,40.61
43,25.58,61.82,20.31,0.00028066,0.280665,3562.97,MG,3,3960.00,120450.00,24463.40,38.46
44,25.35,62.05,98.66,0.00136846,1.368458,730.75,MS,5,9000.00,273750.00,270081.75,39.01
46,26.85,60.55,99.67,0.00134905,1.349048,741.26,MS,5,#N/A,#N/A,#N/A,39.01
47,17.86,69.54,89.84,0.00139654,1.396539,716.06,MT,4,30000.00,912500.00,819790.00,40.61
49,19.36,68.04,87.76,0.00133478,1.334780,749.19,SP,1,6000.00,182500.00,160162.00,37.30
50,24.73,62.67,99.23,0.00139012,1.390117,719.36,SP,1,15960.00,485450.00,481712.04,37.30
54,25.00,62.40,98.33,0.00137157,1.371574,729.09,GO,2,14400.00,438000.00,430685.40,33.86
55,23.01,64.39,94.75,0.00136379,1.363786,733.25,MS,5,7200.00,219000.00,207502.50,39.01
62,26.85,60.55,92.66,0.00125417,1.254166,797.34,SP,1,4800.00,146000.00,135283.60,37.30
63,31.25,56.15,89.92,0.00112864,1.128638,886.02,GO,2,3600.00,109500.00,98462.40,33.86
64,45.71,41.69,97.73,0.00091077,0.910769,1097.97,PR,6,3600.00,109500.00,107014.35,37.64
65,20.85,66.55,82.39,0.00122566,1.225663,815.88,SP,1,7200.00,219000.00,180434.10,37.30
67,22.02,65.38,84.91,0.00124095,1.240945,805.84,MG,3,7200.00,219000.00,185952.90,38.46
69,32.68,54.72,88.54,0.00108301,1.083014,923.35,MG,3,1800.00,54750.00,48475.65,38.46
70,25.62,61.78,88.60,0.00122357,1.223574,817.28,SP,1,4200.00,127750.00,113186.50,37.30
71,24.50,62.90,97.60,0.00137230,1.372300,728.70,SP,1,2400.00,73000.00,71248.00,37.30
74,22.39,65.01,98.63,0.00143330,1.433302,697.69,SP,1,9600.00,292000.00,287999.60,37.30
75,24.63,62.77,95.58,0.00134112,1.341120,745.65,SP,1,10380.00,315725.00,301769.96,37.30
76,21.58,65.82,99.42,0.00061773,0.617730,1618.83,GO,2,14208.00,432160.00,429653.47,33.86
77,26.20,61.20,96.14,0.00131524,1.315237,760.32,SP,1,11080.00,337016.67,324007.82,37.30
79,25.00,62.40,99.80,0.00139208,1.392079,718.35,SP,1,6000.00,182500.00,182135.00,37.30
80,31.26,56.14,94.39,0.00118453,1.184533,844.21,PR,6,6000.00,182500.00,172261.75,37.64
81,32.35,55.05,93.91,0.00115563,1.155627,865.33,SP,1,9000.00,273750.00,257078.63,37.30
84,24.12,63.28,95.08,0.00134494,1.344944,743.53,SP,1,4440.00,135050.00,128405.54,37.30
85,28.22,59.18,95.53,0.00126376,1.263756,791.29,SP,1,6600.00,200750.00,191776.48,37.30
86,35.42,51.98,68.71,0.00079837,0.798371,1252.55,PR,6,10800.00,328500.00,225712.35,37.64
88,27.89,59.51,92.80,0.00123449,1.234487,810.05,MG,3,6000.00,182500.00,169360.00,38.46
90,24.20,63.20,99.49,0.00140555,1.405546,711.47,SP,1,9600.00,292000.00,290510.80,37.30
92,23.56,63.84,97.31,0.00138867,1.388670,720.11,MS,5,14400.00,438000.00,426217.80,39.01
96,36.05,51.35,90.72,0.00104134,1.041339,960.30,SP,1,1920.00,58400.00,52980.48,37.30
97,20.51,66.89,100.00,0.00149524,1.495236,668.79,SP,1,4560.00,138700.00,138700.00,37.30
98,22.95,64.45,98.32,0.00141649,1.416490,705.97,SP,1,7800.00,237250.00,233264.20,37.30
99,22.18,65.22,98.45,0.00143531,1.435308,696.71,SP,1,8160.00,248200.00,244352.90,37.30
102,24.55,62.85,96.90,0.00136138,1.361375,734.55,SP,1,15000.00,456250.00,442106.25,37.30
103,26.03,61.37,98.32,0.00134880,1.348797,741.40,SP,1,9000.00,273750.00,269151.00,37.30
106,27.44,59.96,97.00,0.00130012,1.300116,769.16,SP,1,7800.00,237250.00,230132.50,37.30
107,23.61,63.79,98.14,0.00139942,1.399417,714.58,SP,1,20400.00,620500.00,608958.70,37.30
110,14.78,72.62,99.88,0.00162138,1.621375,616.76,GO,2,8400.00,255500.00,255193.40,33.86
111,28.21,59.19,94.82,0.00125458,1.254576,797.08,SP,1,14400.00,438000.00,415311.60,37.30
112,22.30,65.10,96.70,0.00140720,1.407201,710.63,SP,1,8400.00,255500.00,247068.50,37.30
114,30.13,57.27,98.11,0.00125600,1.255998,796.18,SP,1,2160.00,65700.00,64458.27,37.30
115,19.59,67.81,88.40,0.00133997,1.339969,746.29,GO,2,5400.00,164250.00,145197.00,33.86
117,30.40,57.00,99.18,0.00126371,1.263711,791.32,MG,3,12000.00,365000.00,362007.00,38.46
119,23.10,64.30,98.74,0.00141923,1.419230,704.61,SP,1,8640.00,262800.00,259488.72,37.30
120,24.64,62.76,91.68,0.00128619,1.286193,777.49,SP,1,9000.00,273750.00,250974.00,37.30
121,23.70,63.70,98.31,0.00139986,1.399864,714.36,SP,1,7200.00,219000.00,215298.90,37.30
122,26.01,61.39,93.44,0.00128227,1.282269,779.87,SP,1,13200.00,401500.00,375161.60,37.30
125,25.92,61.48,91.33,0.00125515,1.255151,796.72,SP,1,9840.00,299300.00,273350.69,37.30
126,21.62,65.78,95.09,0.00139823,1.398226,715.19,SP,1,2880.00,87600.00,83298.84,37.30
127,16.11,71.29,100.00,0.00159359,1.593592,627.51,MS,5,3600.00,109500.00,109500.00,39.01
128,26.20,61.20,94.73,0.00129595,1.295948,771.64,SP,1,12000.00,365000.00,345764.50,37.30
130,23.36,64.04,97.21,0.00139159,1.391589,718.60,SP,1,7200.00,219000.00,212889.90,37.30
131,19.04,68.36,95.76,0.00146331,1.463305,683.38,SP,1,3360.00,102200.00,97866.72,37.30
132,32.87,54.53,92.14,0.00112314,1.123136,890.36,SP,1,6204.00,188705.00,173872.79,37.30
133,19.68,67.72,98.50,0.00149108,1.491083,670.65,SP,1,3900.00,118625.00,116845.63,37.30
134,34.15,53.25,97.75,0.00116355,1.163550,859.44,SP,1,3600.00,109500.00,107036.25,37.30
137,29.17,58.23,98.48,0.00128187,1.281868,780.11,GO,2,17640.00,536550.00,528394.44,33.86
138,21.12,66.28,95.60,0.00141641,1.416410,706.01,SP,1,8400.00,255500.00,244258.00,37.30
140,24.90,62.50,88.62,0.00123811,1.238113,807.68,MG,3,5100.00,155125.00,137471.78,38.46
141,33.96,53.44,97.35,0.00116292,1.162923,859.90,MG,3,12000.00,365000.00,355327.50,38.46
142,25.88,61.52,97.54,0.00134137,1.341367,745.51,SP,1,7200.00,219000.00,213612.60,37.30
144,26.20,61.20,89.34,0.00122221,1.222211,818.19,SP,1,9600.00,292000.00,260872.80,37.30
147,28.82,58.58,92.88,0.00121624,1.216243,822.20,PR,6,15840.00,481800.00,447495.84,37.64
148,25.25,62.15,94.69,0.00131551,1.315509,760.16,SP,1,3600.00,109500.00,103685.55,37.30
150,18.56,68.84,52.26,0.00080419,0.804190,1243.49,GO,2,4200.00,127750.00,66762.15,33.86
151,21.38,66.02,92.76,0.00136894,1.368942,730.49,GO,2,9600.00,292000.00,270859.20,33.86
152,20.37,67.03,98.10,0.00146990,1.469897,680.32,MG,3,9600.00,292000.00,286452.00,38.46
153,27.13,60.27,85.23,0.00114827,1.148266,870.88,GO,2,19200.00,584000.00,497743.20,33.86
156,22.03,65.37,84.78,0.00123886,1.238855,807.20,GO,2,3120.00,94900.00,80456.22,33.86
158,32.80,54.60,76.37,0.00093210,0.932103,1072.84,SP,1,4800.00,146000.00,111500.20,37.30
163,22.90,64.50,100.00,0.00144181,1.441811,693.57,SP,1,13200.00,401500.00,401500.00,37.30
164,25.07,62.33,0.00,0.00132893,1.328933,752.48,GO,2,4800.00,146000.00,0.00,33.86
165,23.69,63.71,92.30,0.00131449,1.314492,760.75,MG,3,8400.00,255500.00,235826.50,38.46
166,25.49,61.91,97.17,0.00134475,1.344750,743.63,GO,2,10200.00,310250.00,301469.93,33.86
167,24.20,63.20,94.26,0.00133166,1.331659,750.94,MG,3,2640.00,80300.00,75690.78,38.46
168,23.99,63.41,99.47,0.00140993,1.409933,709.25,SP,1,7200.00,219000.00,217839.30,37.30
170,27.46,59.94,99.78,0.00133693,1.336931,747.98,MG,3,8400.00,255500.00,254937.90,38.46
171,28.13,59.27,96.69,0.00128105,1.281047,780.61,SP,1,5040.00,153300.00,148225.77,37.30
172,20.03,67.37,96.81,0.00145793,1.457926,685.91,GO,2,1800.00,54750.00,53003.48,33.86
177,27.96,59.44,94.79,0.00125948,1.259476,793.98,GO,2,7800.00,237250.00,224889.28,33.86
178,27.05,60.35,96.67,0.00130412,1.304120,766.80,GO,2,6600.00,200750.00,194065.03,33.86
179,26.03,61.37,93.71,0.00128556,1.285555,777.87,SP,1,6000.00,182500.00,171020.75,37.30
182,19.77,67.63,94.35,0.00142636,1.426363,701.08,PR,6,8400.00,255500.00,241064.25,37.64
184,27.79,59.61,94.21,0.00125535,1.255350,796.59,MG,3,5280.00,160600.00,151301.26,38.46
185,26.75,60.65,95.25,0.00129135,1.291351,774.38,SP,1,6000.00,182500.00,173831.25,37.30
187,29.15,58.25,97.54,0.00127007,1.270069,787.36,MG,3,6600.00,200750.00,195811.55,38.46
189,21.97,65.43,95.01,0.00138962,1.389616,719.62,PR,6,7200.00,219000.00,208071.90,37.64
190,23.62,63.78,92.95,0.00132520,1.325203,754.60,SP,1,8400.00,255500.00,237487.25,37.30
195,24.31,63.09,96.23,0.00135712,1.357124,736.85,MG,3,11400.00,346750.00,333677.53,38.46
197,29.19,58.21,91.31,0.00118813,1.188132,841.66,MT,4,17520.00,532900.00,486590.99,40.61
198,25.97,61.43,88.54,0.00121582,1.215818,822.49,SP,1,1800.00,54750.00,48475.65,37.30
199,26.69,60.71,96.24,0.00130606,1.306064,765.66,SP,1,6000.00,182500.00,175638.00,37.30
201,23.77,63.63,86.30,0.00122750,1.227500,814.66,MS,5,4900.00,149041.67,128622.96,39.01
203,18.06,69.34,85.10,0.00131905,1.319052,758.12,SP,1,7560.00,229950.00,195687.45,37.30
205,28.95,58.45,92.72,0.00121145,1.211453,825.46,SP,1,4200.00,127750.00,118449.80,37.30
206,18.84,68.56,88.95,0.00129484,1.294844,772.29,MG,3,5040.00,153300.00,136360.35,38.46
207,25.41,61.99,87.28,0.00120944,1.209442,826.83,SP,1,3600.00,109500.00,95571.60,37.30
209,21.78,65.62,99.11,0.00145379,1.453792,687.86,SP,1,12000.00,365000.00,361751.50,37.30
211,30.16,57.24,75.76,0.00096937,0.969367,1031.60,SP,1,2520.00,76650.00,58070.04,37.30
212,26.34,61.06,97.83,0.00133530,1.335296,748.90,PR,6,2280.00,69350.00,67845.11,37.64
213,23.74,63.66,92.10,0.00131061,1.310614,763.00,SP,1,2400.00,73000.00,67233.00,37.30
217,22.10,65.30,99.40,0.00145094,1.450936,689.21,SP,1,12000.00,365000.00,362810.00,37.30
218,29.23,58.17,93.26,0.00121267,1.212671,824.63,SP,1,4200.00,127750.00,119139.65,37.30
222,31.67,55.73,91.59,0.00114100,1.141000,876.42,GO,2,14400.00,438000.00,401164.20,33.86
223,37.11,50.29,85.29,0.00095880,0.958801,1042.97,SP,1,11040.00,335800.00,286403.82,37.30
227,36.68,50.72,79.67,0.00090328,0.903281,1107.08,GO,2,6000.00,182500.00,145397.75,33.86
230,34.59,52.81,92.82,0.00109574,1.095737,912.63,MT,4,10800.00,328500.00,304913.70,40.61
234,21.45,65.95,84.03,0.00123879,1.238790,807.24,MS,5,7800.00,237250.00,199361.18,39.01
240,24.57,62.83,90.73,0.00127429,1.274285,784.75,SP,1,3600.00,109500.00,99349.35,37.30
242,23.14,64.26,97.23,0.00139666,1.396657,716.00,GO,2,3600.00,109500.00,106466.85,33.86
245,35.62,51.78,91.16,0.00105515,1.055152,947.73,PR,6,3600.00,109500.00,99820.20,37.64
252,28.08,59.32,98.63,0.00130785,1.307853,764.61,MS,5,3960.00,120450.00,118799.84,39.01
261,36.95,50.45,83.92,0.00094640,0.946401,1056.63,PR,6,2040.00,62050.00,52072.36,37.64
264,27.21,60.19,94.72,0.00127443,1.274426,784.67,SP,1,10200.00,310250.00,293868.80,37.30
265,35.21,52.19,84.50,0.00098581,0.985809,1014.40,MT,4,7500.00,228125.00,192765.63,40.61
267,31.12,56.28,93.93,0.00118170,1.181700,846.24,MG,3,10200.00,310250.00,291417.83,38.46
268,27.30,60.10,95.91,0.00128851,1.288508,776.09,MG,3,7800.00,237250.00,227546.48,38.46
271,18.95,68.45,36.82,0.00056339,0.563386,1774.98,PR,6,2400.00,73000.00,26878.60,37.64
272,27.84,59.56,98.06,0.00130596,1.305955,765.72,SP,1,8400.00,255500.00,250543.30,37.30
274,20.27,67.13,97.45,0.00146234,1.462336,683.84,SP,1,9000.00,273750.00,266769.38,37.30
275,22.90,64.50,96.79,0.00139553,1.395529,716.57,SP,1,8400.00,255500.00,247298.45,37.30
276,46.36,41.04,66.04,0.00060585,0.605847,1650.58,MS,5,34000.00,1034166.67,682963.67,39.01
280,30.51,56.89,77.97,0.00099154,0.991544,1008.53,MT,4,5640.00,171550.00,133757.54,40.61
282,16.61,70.79,98.83,0.00156390,1.563901,639.43,MT,4,6600.00,200750.00,198401.23,40.61
286,24.65,62.75,68.21,0.00095678,0.956776,1045.18,SP,1,9000.00,273750.00,186724.88,37.30
287,22.45,64.95,96.11,0.00139539,1.395392,716.64,SP,1,9620.00,292608.33,281225.87,37.30
291,28.04,59.36,97.49,0.00129361,1.293608,773.03,SP,1,15600.00,474500.00,462590.05,37.30
292,25.70,61.70,96.34,0.00132874,1.328741,752.59,SP,1,14640.00,445300.00,429002.02,37.30
294,30.42,56.98,96.50,0.00122913,1.229132,813.58,SP,1,7200.00,219000.00,211335.00,37.30
295,29.64,57.76,74.83,0.00096617,0.966166,1035.02,MS,5,12000.00,365000.00,273129.50,39.01
297,38.01,49.39,76.44,0.00084393,0.843934,1184.93,SP,1,9120.00,277400.00,212044.56,37.30
298,34.25,53.15,93.67,0.00111289,1.112890,898.56,SP,1,6960.00,211700.00,198299.39,37.30
299,29.74,57.66,72.88,0.00093936,0.939359,1064.56,MS,5,2160.00,65700.00,47882.16,39.01
300,24.63,62.77,31.39,0.00044045,0.440445,2270.43,MT,4,2400.00,73000.00,22914.70,40.61
303,21.47,65.93,95.58,0.00140864,1.408636,709.91,SP,1,4300.00,130791.67,125010.68,37.30
305,33.21,54.19,98.18,0.00118930,1.189298,840.83,SP,1,4200.00,127750.00,125424.95,37.30
307,19.16,68.24,70.63,0.00107740,1.077400,928.16,MT,4,22400.00,681333.33,481225.73,40.61
308,36.12,51.28,51.76,0.00059332,0.593323,1685.42,MT,4,37500.00,1140625.00,590387.50,40.61
313,19.57,67.83,63.18,0.00095797,0.957966,1043.88,MT,4,19800.00,602250.00,380501.55,40.61
314,27.38,60.02,29.17,0.00039136,0.391364,2555.16,PR,6,1080.00,32850.00,9582.35,37.64
315,29.90,57.50,79.22,0.00101824,1.018243,982.08,GO,2,1800.00,54750.00,43372.95,33.86
318,27.44,59.96,99.00,0.00132692,1.326922,753.62,SP,1,2160.00,65700.00,65043.00,37.30
319,24.47,62.93,95.38,0.00134173,1.341726,745.31,SP,1,20520.00,624150.00,595314.27,37.30
322,30.77,56.63,97.41,0.00123310,1.233101,810.96,SP,1,6000.00,182500.00,177773.25,37.30
324,23.69,63.71,70.25,0.00100047,1.000467,999.53,GO,2,1680.00,51100.00,35897.75,33.86
325,25.83,61.57,94.68,0.00130310,1.303095,767.40,MS,5,18480.00,562100.00,532196.28,39.01
329,33.79,53.61,86.84,0.00104067,1.040673,960.92,SP,1,8280.00,251850.00,218706.54,37.30
