ID,y,neea,vol,fcbio,fcbio.1000,l/cbio,UF,CD_UF,cap.m3dia,med.cap.m3ano,vol.cap.m3ano,ic.cana.tipic
3,33.88,53.52,62.59,0.00071490,0.71489850,1398.80,SP,1,7200.00,219000.00,137072.10,37.30
6,41.41,45.99,87.08,0.00085468,0.85468320,1170.02,GO,2,3960.00,120450.00,104887.86,33.86
7,41.83,45.57,20.78,0.00020209,0.20209140,4948.26,GO,2,19200.00,584000.00,121355.20,33.86
10,34.89,52.51,91.90,0.00102987,1.02986600,971.00,MS,5,14400.00,438000.00,402522.00,39.01
11,23.26,64.14,95.72,0.00131025,1.31025200,763.21,GO,2,6000.00,182500.00,174689.00,33.86
12,23.77,63.63,95.26,0.00129359,1.29358800,773.04,PR,6,3600.00,109500.00,104309.70,37.64
13,20.86,66.54,94.15,0.00133699,1.33698500,747.95,PR,6,3600.00,109500.00,103094.25,37.64
14,27.58,59.82,96.93,0.00123745,1.23745100,808.11,MG,3,15000.00,456250.00,442243.13,38.46
15,33.70,53.70,90.36,0.00103556,1.03555700,965.66,MG,3,9000.00,273750.00,247360.50,38.46
16,21.89,65.51,86.03,0.00120277,1.20276500,831.42,PR,6,6600.00,200750.00,172705.23,37.64
17,29.61,57.79,92.32,0.00113860,1.13860200,878.27,PR,6,4800.00,146000.00,134787.20,37.64
18,27.27,60.13,95.60,0.00122680,1.22679600,815.13,PR,6,5040.00,153300.00,146554.80,37.64
19,29.29,58.11,92.22,0.00114367,1.14366600,874.38,SP,1,8520.00,259150.00,238988.13,37.30
20,22.17,65.23,94.73,0.00131874,1.31873700,758.30,PR,6,4200.00,127750.00,121017.58,37.64
21,38.68,48.72,85.28,0.00088670,0.88670220,1127.77,SP,1,5430.00,165162.50,140850.58,37.30
25,31.13,56.27,89.93,0.00107995,1.07995300,925.97,GO,2,14400.00,438000.00,393893.40,33.86
26,31.94,55.46,97.70,0.00115637,1.15637200,864.77,SP,1,6360.00,193450.00,189000.65,37.30
27,22.72,64.68,95.19,0.00131397,1.31396800,761.05,SP,1,6000.00,182500.00,173721.75,37.30
29,58.66,28.74,100.00,0.00061335,0.61335240,1630.38,MT,4,1200.00,36500.00,36500.00,40.61
31,39.72,47.68,68.52,0.00069723,0.69723140,1434.24,MG,3,6000.00,182500.00,125049.00,38.46
33,25.30,62.10,97.98,0.00129853,1.29853100,770.10,GO,2,2400.00,73000.00,71525.40,33.86
35,25.70,61.70,88.68,0.00116771,1.16770800,856.38,PR,6,9360.00,284700.00,252471.96,37.64
37,28.39,59.01,94.16,0.00118581,1.18581100,843.30,GO,2,20400.00,620500.00,584262.80,33.86
38,28.07,59.33,97.09,0.00122934,1.22934000,813.44,GO,2,20400.00,620500.00,602443.45,33.86
39,33.74,53.66,90.47,0.00103605,1.03604500,965.21,SP,1,4200.00,127750.00,115575.43,37.30
41,22.72,64.68,97.16,0.00134116,1.34116100,745.62,MS,5,32400.00,985500.00,957511.80,39.01
42,25.69,61.71,99.72,0.00131329,1.31329100,761.45,MT,4,20400.00,620500.00,618762.60,40.61
43,25.93,61.47,20.31,0.00026644,0.26643820,3753.22,MG,3,4140.00,125925.00,25575.37,38.46
44,25.34,62.06,98.66,0.00130670,1.30670100,765.29,MS,5,20400.00,620500.00,612185.30,39.01
46,27.20,60.20,99.67,0.00128051,1.28051400,780.94,MS,5,#N/A,#N/A,#N/A,39.01
47,17.08,70.32,89.84,0.00134826,1.34825500,741.70,MT,4,31200.00,949000.00,852581.60,40.61
48,24.73,62.67,99.56,0.00133158,1.33158200,750.99,SP,1,16800.00,511000.00,508751.60,37.30
50,25.08,62.32,99.23,0.00131976,1.31975600,757.72,SP,1,17280.00,525600.00,521552.88,37.30
51,22.85,64.55,97.89,0.00134852,1.34852200,741.55,SP,1,7440.00,226300.00,221525.07,37.30
52,23.58,63.82,93.92,0.00127920,1.27919900,781.74,SP,1,8640.00,262800.00,246821.76,37.30
54,24.75,62.65,98.33,0.00131471,1.31471100,760.62,GO,2,21600.00,657000.00,646028.10,33.86
55,23.36,64.04,94.75,0.00129495,1.29495300,772.23,MS,5,22800.00,693500.00,657091.25,39.01
56,21.02,66.38,95.35,0.00135077,1.35077000,740.32,SP,1,7500.00,228125.00,217517.19,37.30
57,29.24,58.16,95.27,0.00118251,1.18250700,845.66,GO,2,28800.00,876000.00,834565.20,33.86
58,31.26,56.14,97.16,0.00116408,1.16408100,859.05,SP,1,6600.00,200750.00,195048.70,37.30
59,24.05,63.35,99.04,0.00133900,1.33900000,746.83,SP,1,4320.00,131400.00,130138.56,37.30
60,23.27,64.13,96.71,0.00132360,1.32359700,755.52,SP,1,4200.00,127750.00,123547.03,37.30
61,28.19,59.21,96.45,0.00121877,1.21876700,820.50,SP,1,6000.00,182500.00,176021.25,37.30
62,27.20,60.20,92.66,0.00119045,1.19045300,840.02,SP,1,4800.00,146000.00,135283.60,37.30
63,31.49,55.91,89.92,0.00107292,1.07292400,932.03,GO,2,9000.00,273750.00,246156.00,33.86
64,46.06,41.34,97.73,0.00086223,0.86222710,1159.79,PR,6,5400.00,164250.00,160521.53,37.64
65,21.20,66.20,82.39,0.00116401,1.16400800,859.10,SP,1,16800.00,511000.00,421012.90,37.30
