Percentual da área queimada,Área Queimada,Calcário calcítico,Calcário dolomítico,Gesso,Ureia,Fosfato Monoamônico (MAP),Fosfato Monoamônico (MAP),Fosfato diamônico (DAP),Fosfato diamônico (DAP),Nitrato de amônio,Solução de nitrato de amônio e ureia (UAN),Amônia anidra,Sulfato de amônio,Nitrato de amônio e cálcio (CAN),Superfosfato simples (SSP),Superfosfato triplo (TSP),Cloreto de potássio (KCl),Outros,Outros,Outros,Vinhaça,Concentração de N,Torta de Filtro (base úmida),Concentração de N,Cinzas e fuligem (base úmida),Concentração de N,Outros,Concentração de N,Outros,Concentração de N,Diesel - B10,Diesel - B11,Diesel - B15,Diesel - BX,Teor de biodiesel na mistura,Diesel - B20,Diesel - B30,Biodiesel - B100,Gasolina C,Etanol hidratado,Biometano de terceiros,Biometano próprio,Eletricidade da rede - mix médio,Eletricidade - PCH,Eletricidade - biomassa,Eletricidade - eólica,Eletricidade - solar,IC
4.679957153,0,0.2633480562,11.57195841,6.441650205,0.01679834533,0.09847504468,0.3248032549,0,0.01086780525,0.1940995722,0.06729374873,0,0.0433612603,0,0,0.01736681784,0.4664507914,0.5022834011,0.4294210082,0.244971543,885.1063269,0.7381613213,0,2.606610823,2.479915114,0,10.7511345,0,0,0,1.976286388,0.7269961374,0,1.698599239,0,0,0,0,0,0.2725251805,0,0,0.2751801364,0,0,0,0,38.72
4.593965157,0,0,14.61555778,4.158635067,0.2923034113,0.05752072746,0.6058926038,0,0,0.2572581128,0.01232472841,0,0.04337755658,0,0,0.02631636896,0.925676126,0.2108741665,0.5107026303,0,373.8194914,0.5389789247,36.34467106,2.626473145,6.29545784,0,13.99198273,0,0,0,1.851115778,0.8007600258,0,0.8879997656,0,0,0,0,0,0.2247647919,0,0,0,0,0,0,0,36.22
4.347305459,0,0.5027028059,13.18041901,4.579210774,0.3894892216,0.1159274663,0.4116024993,0,0.008184074623,0,0.00658334149,0,0.09464728508,0,0.0006906494285,0.03485698291,0.6217564858,0.2231353308,0.4108916451,0.2496152791,531.0798805,0.4100727152,4.412811016,2.887163809,11.45616963,0,0,0,0,0,1.76493216,0.9669996574,0,0.847860323,0,0,0,0,0,0.2434917312,0,0,0,0,0,0,0,33.23
1.900003191,0,0.2732189236,11.11159395,6.1321952,0.1745765252,0.09149456125,0.3900935092,0,0.01450973151,0.06412133281,0,0,0.0828857473,0,0.03720692438,0.0205697219,0.5328801397,0.004960951484,0.5234121788,0.3768945808,589.7314582,0.526462626,45.04276474,2.773551889,13.82441239,0,9.505784838,0,0,0,1.216244196,0.4039607107,0,1.354456965,0,0,0,0,0,0.3471336599,0,0,0.2878694906,0,0,0,0,28.33
5.956535258,0,0.5999854648,14.60586696,5.949336635,0.2201143016,0.05664592044,0.2231852814,0,0.02400287431,0.4464400975,0.01495682977,0,0.09006238163,0,0.03459366053,0.01468088068,0.4903809907,0.2526676139,0,0,659.1529128,0.08207047863,29.35527666,2.893792242,13.92318684,0,17.21231128,0,0,0,2.116210557,0.8316271243,0,2.078206119,0,0,0,0,0,0.1910386693,0,0,0.07703432861,0,0,0,0,41.46
4.200661896,0,0.1943507133,12.28794328,5.857377173,0.4148837334,0.08103846024,0.548553749,0,0.01819317768,0.218126072,0,0,0.0687990679,0,0,0.04263513818,0.842831378,0.1727451655,0.1824583256,0,306.2814112,0.7157496129,22.15521081,2.804325271,9.135336472,0,3.497859848,0,0,0,0.7914655815,0.6489917247,0,0.6056171393,0,0,0,0,0,0.2136520936,0,0,0.3987768091,0,0,0,0,31
3.758877672,0,0.3572102728,11.60226272,5.879547997,0.3316404125,0.05047697517,0.4959755451,0,0.0165958916,0.7511497639,0.03694139295,0,0.09913925483,0,0.04132755123,0.01310030021,0.4746765997,0.151159282,0.3112698263,0.2893792212,991.9244238,0.5107664012,47.93971257,2.46384876,10.91289463,0,12.00495042,0,0,0,4.036888164,0.6933563345,0,1.486674312,0,0,0,0,0,0.4189777903,0,0,0.0737654687,0,0,0,0,51.41
5.278942248,0,0.2035635258,15.47397754,6.706062666,0.06236008048,0.08849735032,0.3816715256,0,0.01461651981,0.5230476337,0.02089187008,0,0.03269688391,0,0.04342607028,0.0231335268,0.8345547352,0.05595491291,0.3003864703,0,1371.391516,0.7146374498,71.05215134,2.626533764,7.516333062,0,0,0,0,0,3.037655595,0.564074549,0,1.567480024,0,0,0,0,0,0.2419341399,0,0,0.180321343,0,0,0,0,46.44
4.212945065,0,0.8299262249,10.89352815,6.075131788,0.0998736558,0.08645877726,0.6073162203,0,0.006367538193,0.3396476588,0.02304898407,0,0.03706857135,0,0,0.02260127215,0.6470102964,0.09028022444,0.2015776532,0.3914347018,619.4388579,0.7774406237,3.573359708,2.800251459,8.970989554,0,9.081852326,0,0,0,1.983559849,0.4762362785,0,0.9135347557,0,0,0,0,0,0.3624620299,0,0,0.442421134,0,0,0,0,33.62
3.429430612,0,0.7435935351,12.59852082,6.204725925,0.2925245188,0.1543780269,0.7500932183,0,5.05E-05,0.5362843387,0,0,0.1098471256,0,0.08459424167,0.03376077487,0.5847512724,0.2452334475,0.1693670298,0.2062590689,927.7473111,0.5684097568,18.20780644,2.855624181,7.268657393,0,7.122350354,0,0,0,2.578053046,0.9483895003,0,1.340786198,0,0,0,0,0,0.08542184113,0,0,0.2319568745,0,0,0,0,30.81
4.433651495,0,0.3266905114,13.74409475,4.723296642,0.04736017693,0.07503807956,0.388956124,0,0.01537194353,0.3698285406,0,0,0,0,0.01721065645,0.009259136656,0.5332125263,0.2992697237,0,0.4820756846,436.7901502,0.3169385579,29.67418069,3.156167687,13.90481528,0,0,0,0,0,2.967326555,0.274562386,0,1.312267232,0,0,0,0,0,0.2687007678,0,0,0,0,0,0,0,38.41
3.890303952,0,0.08220808711,11.42140384,4.818934996,0.3621517032,0.126741475,0.3497518905,0,0.01434928772,0.535699923,0,0,0.03742801568,0,0.02817226389,0.008175412759,0.4775718578,0.2373142049,0.1187726005,0.425705835,1169.189516,0.4768190493,60.15164399,2.757130577,8.714800441,0,7.234801863,0,0,0,2.111628856,0.8367189709,0,1.905725082,0,0,0,0,0,0.3568775355,0,0,0.1022995504,0,0,0,0,29.14
4.547920238,0,0.4061058437,11.60941557,4.917090995,0.02089389684,0.1226140776,0.09030404202,0,0.0138617194,0.6173877608,0.05739936125,0,0.06872392928,0,0,0.02309288405,0.9886515626,0.1174276632,0,0,1091.843181,0.6103457496,17.02711559,2.897495,9.509905757,0,0,0,0,0,1.437904056,0.4069578412,0,0.06923221462,0,0,0,0,0,0.1622387623,0,0,0.1968648762,0,0,0,0,18.81
4.363266521,0,0.05623298895,13.56156833,4.928647421,0.07580815489,0.02856381882,0.4395589373,0,0.003772653278,0.2224068872,0.0192877574,0,0.1209394459,0,0.04485458998,0.02242890883,0.08582612099,0.1624189678,0.2657067227,0.09923026681,520.2160847,0,45.3275588,2.81102923,10.55812145,0,3.308871944,0,0,0,2.361188477,1.448708563,0,0.8595614932,0,0,0,0,0,0.2975394057,0,0,0.01221385019,0,0,0,0,25.41
4.04408524,0,0.13794294,14.38763191,5.41930157,0.08487005204,0.03714781848,0.4877311472,0,0.01069689842,0.1899798004,0.02769689132,0,0.05043818182,0,0.0826144787,0.02172682151,0.6599254321,0.1214255185,0.1395515864,0.3254296044,711.6581073,0.4202581581,0,2.463249318,5.608980379,0,5.51708126,0,0,0,1.940948526,0.2148368529,0,0.09040665473,0,0,0,0,0,0.3325036901,0,0,0.3213705084,0,0,0,0,18.6
4.583631316,0,0.7165207751,9.332728623,4.326758521,0,0.09467494793,0.4083020804,0,0.005122749896,0.2723001446,0,0,0.0177258122,0,0.03871221483,0.00898153293,0.7714344901,0.2170474776,0,0.09436315915,1268.560097,0.3295295977,32.82435362,2.749884275,3.598109781,0,3.288836571,0,0,0,0.5451646703,0.6593787417,0,1.323400537,0,0,0,0,0,0.32166328,0,0,0.4457559003,0,0,0,0,17.28
2.355639963,0,0,10.84303452,4.593571274,0.198364592,0.1364810421,0.6301746338,0,0.01437394772,0.2452051223,0.08015635237,0,0.06914676852,0,0.04084833387,0.01990440788,1.006754176,0.2618025606,0,0.2541532113,649.1581289,0.06681571218,35.88298066,3.005040337,6.875729424,0,0,0,0,0,3.145037085,1.07357837,0,1.859467068,0,0,0,0,0,0.2238912316,0,0,0.2751187325,0,0,0,0,30.21
3.434870364,0,0.1295710034,9.142267105,4.008935388,0.396783299,0.08663806513,0.1725567218,0,0.01518521418,0.1292070847,0,0,0.07417612714,0,0.02542472122,0.02387961601,0.2312615887,0.3698631982,0,0,699.1531205,0.5860388937,20.79416652,2.469149403,5.069450995,0,10.30121401,0,0,0,2.282038515,0.6590074021,0,0.4018772592,0,0,0,0,0,0.25224508,0,0,0,0,0,0,0,19.6
3.512313969,0,0.4408304739,12.62455811,6.837117871,0.03939332493,0.0667296226,0.3604203849,0,0.002143125285,0.2599293568,0.07851669639,0,0.04511466212,0,0.03871081302,0.01804506845,0.5567443601,0.4465973279,0,0.242286291,1059.711234,1.14699702,0,2.693645241,20.41680452,0,9.937594881,0,0,0,3.589522917,0.1754140378,0,0.213322993,0,0,0,0,0,0.2372490688,0,0,0,0,0,0,0,23.87
6.293063507,0,0.9403275728,9.875106955,5.760515844,0.3602243061,0.09566252645,0.3259797411,0,0.009437558433,0.4518440663,0.005607602561,0,0,0,0.08582129523,0.03599461076,0.4455522521,0.2704560329,0.4085862209,0.2131745834,290.0052207,0.6388645382,15.33029192,2.516055452,16.76298279,0,9.790137901,0,0,0,2.405998342,0.7540958697,0,1.130487368,0,0,0,0,0,0.3578406905,0,0,0,0,0,0,0,26.93
3.146156719,0,0.684824645,16.11400089,6.507992947,0.2214044015,0.06394694563,0.4520799597,0,0.01896304793,0.5897854685,0.01805489299,0,0.04239118285,0,0.07476624698,0.03285716785,0.4318770035,0.3150128383,0.3546546757,0,794.9356751,0.08933280191,1.478834129,2.766829026,19.27776924,0,17.62401415,0,0,0,3.348611641,0.851295897,0,2.036069586,0,0,0,0,0,0.248945969,0,0,0.1213020206,0,0,0,0,36.48
4.585350107,0,0.2015372825,7.346699161,5.04690977,0.1003385158,0.0946323559,0.1897486989,0,0.006811134597,0.0708504984,0.01970114194,0,0.1261927671,0,0.0286645984,0.02817729935,0.8174732232,0,0.182596232,0.1182168109,789.7114478,0.673658327,61.68775402,2.87946879,6.007394721,0,0,0,0,0,3.317536089,0.4949875951,0,1.581064585,0,0,0,0,0,0.2179992173,0,0,0.262724144,0,0,0,0,22.89
2.295613739,0,0.8729412226,13.4048457,5.762319439,0,0.1098065043,0.3542640402,0,0.008219714205,0.1979224993,0,0,0.02070327644,0,0.03882201789,0.02193644695,0.6291895437,0.5266768331,0.3394122987,0.1988433566,348.7871824,0.6542628307,14.13621379,3.172299896,8.521230175,0,12.81193302,0,0,0,3.497400276,0.2599441234,0,1.092303601,0,0,0,0,0,0.4027984177,0,0,0.1107665902,0,0,0,0,27.24
3.940643187,0,0.1089970502,12.44864629,4.395498385,0.1426423103,0.103376999,0.4047792295,0,0.005204295586,0.5627723746,0,0,0.01054498997,0,0.01932918177,0.01363639882,0.6193437473,0.1158787584,0.4098683294,0.4988245668,251.5843954,0.4400675012,39.28543419,2.727164046,10.7733708,0,6.867436614,0,0,0,1.987053015,1.079138107,0,1.385711743,0,0,0,0,0,0.1690307272,0,0,0,0,0,0,0,27.9
